x,y,id
-123.51,25.76,NA
-123.21,25.76,NA
-122.91,25.76,NA
-122.61,25.76,NA
-122.31,25.76,NA
-122.01,25.76,NA
-121.71,25.76,NA
-121.41,25.76,NA
-121.11,25.76,NA
-120.81,25.76,NA
-120.51,25.76,NA
-120.21,25.76,NA
-119.91,25.76,NA
-119.61,25.76,NA
-119.31,25.76,NA
-119.01,25.76,NA
-118.71,25.76,NA
-118.41,25.76,NA
-118.11,25.76,NA
-117.81,25.76,NA
-117.51,25.76,NA
-117.21,25.76,NA
-116.91,25.76,NA
-116.61,25.76,NA
-116.31,25.76,NA
-116.01,25.76,NA
-115.71,25.76,NA
-115.41,25.76,NA
-115.11,25.76,NA
-114.81,25.76,NA
-114.51,25.76,NA
-114.21,25.76,NA
-113.91,25.76,NA
-113.61,25.76,NA
-113.31,25.76,NA
-113.01,25.76,NA
-112.71,25.76,NA
-112.41,25.76,20399
-112.11,25.76,20051
-111.81,25.76,20051
-111.51,25.76,20052
-111.21,25.76,20053
-110.91,25.76,NA
-110.61,25.76,NA
-110.31,25.76,NA
-110.01,25.76,NA
-109.71,25.76,NA
-109.41,25.76,20060
-109.11,25.76,20060
-108.81,25.76,20061
-108.51,25.76,20062
-108.21,25.76,20063
-107.91,25.76,20064
-107.61,25.76,20065
-107.31,25.76,20066
-107.01,25.76,20067
-106.71,25.76,20068
-106.41,25.76,20069
-106.11,25.76,20070
-105.81,25.76,20071
-105.51,25.76,20072
-105.21,25.76,20073
-104.91,25.76,20074
-104.61,25.76,20075
-104.31,25.76,20077
-104.01,25.76,20078
-103.71,25.76,20079
-103.41,25.76,20080
-103.11,25.76,20081
-102.81,25.76,20082
-102.51,25.76,20083
-102.21,25.76,20084
-101.91,25.76,20085
-101.61,25.76,20086
-101.31,25.76,20087
-101.01,25.76,20437
-100.71,25.76,20438
-100.41,25.76,20439
-100.11,25.76,20440
-99.81,25.76,20441
-99.51,25.76,20442
-99.21,25.76,20443
-98.91,25.76,20444
-98.61,25.76,20445
-98.31,25.76,20446
-98.01,25.76,20795
-97.71,25.76,20796
-97.41,25.76,20797
-97.11,25.76,20798
-96.81,25.76,NA
-96.51,25.76,NA
-96.21,25.76,NA
-95.91,25.76,NA
-95.61,25.76,NA
-95.31,25.76,NA
-95.01,25.76,NA
-94.71,25.76,NA
-94.41,25.76,NA
-94.11,25.76,NA
-93.81,25.76,NA
-93.51,25.76,NA
-93.21,25.76,NA
-92.91,25.76,NA
-92.61,25.76,NA
-92.31,25.76,NA
-92.01,25.76,NA
-91.71,25.76,NA
-91.41,25.76,NA
-91.11,25.76,NA
-90.81,25.76,NA
-90.51,25.76,NA
-90.21,25.76,NA
-89.91,25.76,NA
-89.61,25.76,NA
-89.31,25.76,NA
-89.01,25.76,NA
-88.71,25.76,NA
-88.41,25.76,NA
-88.11,25.76,NA
-87.81,25.76,NA
-87.51,25.76,NA
-87.21,25.76,NA
-86.91,25.76,NA
-86.61,25.76,NA
-86.31,25.76,NA
-86.01,25.76,NA
-85.71,25.76,NA
-85.41,25.76,NA
-85.11,25.76,NA
-84.81,25.76,NA
-84.51,25.76,NA
-84.21,25.76,NA
-83.91,25.76,NA
-83.61,25.76,NA
-83.31,25.76,NA
-83.01,25.76,NA
-82.71,25.76,NA
-82.41,25.76,NA
-82.11,25.76,NA
-81.81,25.76,25385
-81.51,25.76,25386
-81.21,25.76,25387
-80.91,25.76,25388
-80.61,25.76,25389
-80.31,25.76,25390
-80.01,25.76,25390
-79.71,25.76,NA
-79.41,25.76,NA
-79.11,25.76,NA
-78.81,25.76,NA
-78.51,25.76,NA
-78.21,25.76,NA
-77.91,25.76,NA
-77.61,25.76,NA
-77.31,25.76,27144
-77.01,25.76,27144
-76.71,25.76,NA
-76.41,25.76,NA
-76.11,25.76,NA
-75.81,25.76,NA
-75.51,25.76,NA
-75.21,25.76,NA
-74.91,25.76,NA
-74.61,25.76,NA
-74.31,25.76,NA
-74.01,25.76,NA
-73.71,25.76,NA
-73.41,25.76,NA
-73.11,25.76,NA
-72.81,25.76,NA
-72.51,25.76,NA
-72.21,25.76,NA
-71.91,25.76,NA
-71.61,25.76,NA
-71.31,25.76,NA
-71.01,25.76,NA
-70.71,25.76,NA
-70.41,25.76,NA
-70.11,25.76,NA
-69.81,25.76,NA
-69.51,25.76,NA
-69.21,25.76,NA
-68.91,25.76,NA
-68.61,25.76,NA
-68.31,25.76,NA
-68.01,25.76,NA
-67.71,25.76,NA
-67.41,25.76,NA
-67.11,25.76,NA
-124.71,26.06,NA
-124.41,26.06,NA
-124.11,26.06,NA
-123.81,26.06,NA
-123.51,26.06,NA
-123.21,26.06,NA
-122.91,26.06,NA
-122.61,26.06,NA
-122.31,26.06,NA
-122.01,26.06,NA
-121.71,26.06,NA
-121.41,26.06,NA
-121.11,26.06,NA
-120.81,26.06,NA
-120.51,26.06,NA
-120.21,26.06,NA
-119.91,26.06,NA
-119.61,26.06,NA
-119.31,26.06,NA
-119.01,26.06,NA
-118.71,26.06,NA
-118.41,26.06,NA
-118.11,26.06,NA
-117.81,26.06,NA
-117.51,26.06,NA
-117.21,26.06,NA
-116.91,26.06,NA
-116.61,26.06,NA
-116.31,26.06,NA
-116.01,26.06,NA
-115.71,26.06,NA
-115.41,26.06,NA
-115.11,26.06,NA
-114.81,26.06,NA
-114.51,26.06,NA
-114.21,26.06,NA
-113.91,26.06,NA
-113.61,26.06,NA
-113.31,26.06,NA
-113.01,26.06,NA
-112.71,26.06,NA
-112.41,26.06,20748
-112.11,26.06,20400
-111.81,26.06,20401
-111.51,26.06,20402
-111.21,26.06,20402
-110.91,26.06,NA
-110.61,26.06,NA
-110.31,26.06,NA
-110.01,26.06,NA
-109.71,26.06,NA
-109.41,26.06,20060
-109.11,26.06,20410
-108.81,26.06,20410
-108.51,26.06,20411
-108.21,26.06,20412
-107.91,26.06,20413
-107.61,26.06,20414
-107.31,26.06,20415
-107.01,26.06,20416
-106.71,26.06,20417
-106.41,26.06,20418
-106.11,26.06,20419
-105.81,26.06,20420
-105.51,26.06,20421
-105.21,26.06,20422
-104.91,26.06,20423
-104.61,26.06,20424
-104.31,26.06,20425
-104.01,26.06,20426
-103.71,26.06,20427
-103.41,26.06,20428
-103.11,26.06,20429
-102.81,26.06,20430
-102.51,26.06,20431
-102.21,26.06,20432
-101.91,26.06,20433
-101.61,26.06,20434
-101.31,26.06,20784
-101.01,26.06,20785
-100.71,26.06,20786
-100.41,26.06,20787
-100.11,26.06,20788
-99.81,26.06,20789
-99.51,26.06,20790
-99.21,26.06,20791
-98.91,26.06,20792
-98.61,26.06,20793
-98.31,26.06,21143
-98.01,26.06,21144
-97.71,26.06,21145
-97.41,26.06,21146
-97.11,26.06,21147
-96.81,26.06,NA
-96.51,26.06,NA
-96.21,26.06,NA
-95.91,26.06,NA
-95.61,26.06,NA
-95.31,26.06,NA
-95.01,26.06,NA
-94.71,26.06,NA
-94.41,26.06,NA
-94.11,26.06,NA
-93.81,26.06,NA
-93.51,26.06,NA
-93.21,26.06,NA
-92.91,26.06,NA
